gene_id	baseMean	log2FoldChange	lfcSE	pvalue	padj
ENSMUSG00000023460	464.2985	0.00601778	0.05406486	0.7297947	0.9945077
ENSMUSG00000023467	0.1241923	0.0003342991	0.0759164	0.8009527	NA
ENSMUSG00000023473	821.1995	0.002752892	0.0646939	0.8271278	0.9959254
ENSMUSG00000023484	0.6577317	-0.001126007	0.07193982	0.5617479	NA
ENSMUSG00000023495	470.0086	0.01242651	0.04810765	0.4867071	0.9833475
ENSMUSG00000023505	3.283522	-0.0006536948	0.06906072	0.9083655	NA
ENSMUSG00000023571	87.49013	-0.005453352	0.06718089	0.6018493	0.9907391
ENSMUSG00000023572	225.455	0.00577319	0.05185721	0.7417962	0.9953725
ENSMUSG00000023707	96.50791	0.01789833	0.06564544	0.3031691	0.9540687
ENSMUSG00000023723	146.2466	0.02639025	0.07225907	0.1492423	0.8817938
ENSMUSG00000023737	1.099674	-0.001461139	0.07118255	0.5214866	NA
ENSMUSG00000023755	16.95216	0.006899203	0.06861394	0.4371396	0.9777458
ENSMUSG00000023764	226.3168	-0.01078551	0.06035992	0.525146	0.9833475
ENSMUSG00000023781	1.254267	-0.0001253948	0.07030476	0.9606182	NA
ENSMUSG00000023791	63.22824	0.003713919	0.06206089	0.8001488	0.9959254
ENSMUSG00000023795	159.7063	-0.01612683	0.06926093	0.2442572	0.9345905
ENSMUSG00000023800	570.0492	-0.05133224	0.09107211	0.01845645	0.6358009
ENSMUSG00000023805	350.6748	0.02758823	0.07407223	0.1216499	0.8633065
ENSMUSG00000023806	115.0053	0.01613801	0.06320524	0.3619062	0.9687761
ENSMUSG00000023809	711.0645	0.04816245	0.08498398	0.04670314	0.7439823
ENSMUSG00000023826	139.7412	-0.02288994	0.07070877	0.1808854	0.8976294
ENSMUSG00000023827	200.7691	0.02655093	0.07451559	0.111305	0.8565215
ENSMUSG00000023828	30.77709	-0.00391409	0.06795263	0.6559429	0.9918021
ENSMUSG00000023829	0.1772012	0.0003386147	0.07596529	0.7982309	NA
ENSMUSG00000023830	714.2682	0.006686783	0.05296835	0.7035886	0.9945077
ENSMUSG00000023832	267.1145	0.01421623	0.05997675	0.430855	0.975772
ENSMUSG00000023845	1033.159	-0.05039004	0.08149261	0.05970343	0.791842
ENSMUSG00000023852	331.1907	-0.0196892	0.06777115	0.2503073	0.9358582
ENSMUSG00000023861	547.8768	-0.03338449	0.07320749	0.1253109	0.8648222
ENSMUSG00000023868	6730.947	-0.01062017	0.06865106	0.3329267	0.9603452
ENSMUSG00000023873	13.05321	0.0005577774	0.06758658	0.9496372	0.9983069
ENSMUSG00000023882	6.939054	-0.006940595	0.07047736	0.1910299	NA
ENSMUSG00000023883	465.1384	0.003937084	0.04963378	0.8206881	0.9959254
ENSMUSG00000023885	19.53086	0.0041661	0.06574201	0.7244451	0.9945077
ENSMUSG00000023886	6.456151	0.008026461	0.07040556	0.1910116	NA
ENSMUSG00000023892	61.36278	-0.01460824	0.06663532	0.3362313	0.9629489
ENSMUSG00000023903	0.4765876	-9.859118e-06	0.07154951	0.995609	NA
ENSMUSG00000023904	119.5383	0.01948563	0.06588641	0.2789975	0.9431057
ENSMUSG00000023905	7.287308	0.007264714	0.06998928	0.2556214	NA
ENSMUSG00000023906	0.03952348	-0.0002853043	0.07585737	0.8289884	NA
ENSMUSG00000023908	16.34705	-0.0004473843	0.06612192	0.9672992	0.9983069
ENSMUSG00000023909	269.3321	0.003367394	0.05395589	0.8448129	0.9959254
ENSMUSG00000023911	39.61946	0.001730282	0.06531795	0.8842712	0.9976529
ENSMUSG00000023912	241.8759	0.019258	0.06198337	0.3151955	0.9564488
ENSMUSG00000023913	450.7696	0.002534742	0.05891111	0.8743176	0.9970857
ENSMUSG00000023914	0.571829	0.0004212513	0.07580477	0.7545152	NA
ENSMUSG00000023915	379.6888	0.01244093	0.05883738	0.4852331	0.9833475
ENSMUSG00000023918	10.98338	0.002705666	0.0687618	0.6918164	0.9945077
ENSMUSG00000023919	19.14994	-0.0003312785	0.06681165	0.9736069	0.9983069
ENSMUSG00000023921	358.0292	0.02382733	0.06657859	0.225913	0.926374
ENSMUSG00000023923	292.086	-0.01367675	0.05662272	0.4586936	0.9833475
ENSMUSG00000023926	0.04345354	-0.0002853043	0.07585737	0.8289884	NA
ENSMUSG00000023927	165.7868	-0.0006077708	0.0639001	0.9630669	0.9983069
ENSMUSG00000023931	4.623152	0.0001099901	0.06873512	0.9864984	NA
ENSMUSG00000023932	405.8649	-0.00865878	0.05195636	0.6270449	0.9918021
ENSMUSG00000023935	13.19053	0.00665256	0.06963657	0.3223345	0.9584649
ENSMUSG00000023938	128.7007	0.02166552	0.0647254	0.2630539	0.9407565
ENSMUSG00000023939	39.65109	0.00231556	0.06610074	0.8345742	0.9959254
ENSMUSG00000023940	2.063118	-0.005582292	0.07231655	0.1217583	NA
ENSMUSG00000023942	131.8841	-0.01055916	0.06297635	0.5036898	0.9833475
ENSMUSG00000023944	4454.123	0.1272355	0.1122946	0.00246619	0.3910414
ENSMUSG00000023945	259.571	-0.02205607	0.06902526	0.2125341	0.9183453
ENSMUSG00000023947	7.297449	0.004020317	0.0695268	0.4602993	NA
ENSMUSG00000023949	2.101351	-0.0003337596	0.06998493	0.9131508	NA
ENSMUSG00000023951	293.2906	0.01196227	0.06450663	0.4380204	0.9782461
ENSMUSG00000023952	275.1545	0.02060756	0.0663554	0.2604077	0.9407565
ENSMUSG00000023953	37.01722	0.004695605	0.06400996	0.7280945	0.9945077
ENSMUSG00000023959	48.68466	0.005909504	0.06454992	0.6579756	0.9925851
ENSMUSG00000023960	2266.483	-0.007545581	0.04812156	0.6660535	0.9925851
ENSMUSG00000023961	326.662	-0.02461239	0.06428236	0.2312802	0.9326308
ENSMUSG00000023963	12.35618	-0.002632498	0.06823292	0.7398856	0.9953725
ENSMUSG00000023964	89.81914	0.01514947	0.07151348	0.1403921	0.8817938
ENSMUSG00000023965	540.8247	-0.02942054	0.07666349	0.08407216	0.8171523
ENSMUSG00000023966	65.22095	0.01908595	0.07155504	0.1610964	0.8954599
ENSMUSG00000023967	152.6915	0.01480144	0.05999636	0.4163712	0.975772
ENSMUSG00000023968	3.869495	0.004701141	0.07025165	0.2804974	NA
ENSMUSG00000023971	42.4057	0.005721027	0.06181706	0.7054502	0.9945077
ENSMUSG00000023972	111.1641	-0.005761253	0.06241832	0.6971697	0.9945077
ENSMUSG00000023973	253.7186	0.006382281	0.06022739	0.6901343	0.9941923
ENSMUSG00000023977	657.1013	-0.01278758	0.05979401	0.469736	0.9833475
ENSMUSG00000023978	0.07904697	-0.0004860945	0.07657165	0.7146625	NA
ENSMUSG00000023979	1.628015	-0.002002518	0.07010802	0.5442743	NA
ENSMUSG00000023980	92.31704	-0.005976045	0.05676228	0.7252549	0.9945077
ENSMUSG00000023982	1.226441	0.00126076	0.0725008	0.5040399	NA
ENSMUSG00000023984	25.23346	-0.006949916	0.06882274	0.415571	0.975772
ENSMUSG00000023988	109.0353	0.01654044	0.06384723	0.3474692	0.9678659
ENSMUSG00000023990	47.88589	0.005028016	0.06621235	0.6623575	0.9925851
ENSMUSG00000023991	83.94163	0.002958239	0.06899461	0.6411857	0.9918021
ENSMUSG00000023992	76.09132	0.01241038	0.06803996	0.3309545	0.9602468
ENSMUSG00000023993	0.5342275	0	0.07343187	1	NA
ENSMUSG00000023994	125.5771	-0.03260433	0.07850049	0.0697804	0.8078312
ENSMUSG00000023995	0.1633609	-0.0002396564	0.07564328	0.8564041	NA
ENSMUSG00000023999	41.89706	-0.006659879	0.06807503	0.4897246	0.9833475
ENSMUSG00000024002	319.6069	-0.008009252	0.06771474	0.4577503	0.9833475
ENSMUSG00000024006	259.6604	-0.007749498	0.06427707	0.5820193	0.9892007
ENSMUSG00000024007	70.8605	0.007516656	0.06434032	0.5903068	0.9896511
ENSMUSG00000024008	1220.441	-0.01765073	0.06701363	0.2849237	0.9474293
ENSMUSG00000024011	14.20209	0.0002994239	0.06778415	0.9718311	0.9983069
ENSMUSG00000024012	1846.933	0.03430539	0.07468124	0.1128987	0.8589187
ENSMUSG00000024013	32.85126	0.02341861	0.07555611	0.06389023	0.7980898
ENSMUSG00000024014	15.52719	0.01413773	0.07108702	0.1587328	0.8924826
ENSMUSG00000024018	69.31362	0.002846594	0.06481429	0.8199619	0.9959254
ENSMUSG00000024019	829.8592	0.01382328	0.06040433	0.438007	0.9782461
ENSMUSG00000024026	533.5928	-0.004801016	0.05205674	0.783073	0.9959254
ENSMUSG00000024027	4.836932	0.005307549	0.06956464	0.3804681	NA
ENSMUSG00000024030	665.5115	-0.004173914	0.05510848	0.8072899	0.9959254
ENSMUSG00000024033	13.10649	0.007001992	0.06889253	0.4066526	0.975772
ENSMUSG00000024034	0.1087809	-0.0002630284	0.07579117	0.8421344	NA
ENSMUSG00000024036	73.71933	0.002937076	0.0630311	0.8332753	0.9959254
ENSMUSG00000024037	113.6044	0.006741488	0.06608906	0.5797403	0.9892007
ENSMUSG00000024038	235.6265	0.003822715	0.05875877	0.8133631	0.9959254
ENSMUSG00000024039	101.4815	0.0219877	0.0727539	0.134507	0.875389
ENSMUSG00000024041	0.1783387	0	0.07548602	1	NA
ENSMUSG00000024042	110.3973	0.02111095	0.06712392	0.2461156	0.9345905
ENSMUSG00000024043	8.264867	0.003059108	0.06924674	0.5942113	NA
ENSMUSG00000024044	1083.549	0.02146053	0.05543717	0.2833044	0.946618
ENSMUSG00000024045	481.6996	0.02111231	0.05921384	0.2925658	0.9534979
ENSMUSG00000024048	86.84041	-0.009606044	0.06496364	0.498707	0.9833475
ENSMUSG00000024049	10.6207	-0.0005024489	0.06782429	0.9523824	0.9983069
ENSMUSG00000024050	152.0598	-0.001150677	0.06562966	0.9203782	0.9983069
ENSMUSG00000024052	602.1117	0.0594917	0.08745306	0.03808514	0.7200782
ENSMUSG00000024053	28.56273	0.002744413	0.06639685	0.7992614	0.9959254
ENSMUSG00000024054	631.7513	-0.07111501	0.09055557	0.02684537	0.6813505
ENSMUSG00000024055	47.12479	-0.026643	0.07393482	0.1223119	0.8633065
ENSMUSG00000024056	2.382944	-0.005102865	0.07449525	0.1009445	NA
ENSMUSG00000024059	712.8156	-0.02460534	0.0709363	0.1723448	0.8976294
ENSMUSG00000024063	136.1226	0.01639107	0.06656166	0.3099665	0.9557403
ENSMUSG00000024064	84.38728	-0.00610381	0.06622074	0.6057221	0.9907391
ENSMUSG00000024065	428.0448	0.02387199	0.06325571	0.2437223	0.9345905
ENSMUSG00000024066	52.65992	-0.00697434	0.06279663	0.6386486	0.9918021
ENSMUSG00000024067	61.94543	-0.006361173	0.06169139	0.6781841	0.9925851
ENSMUSG00000024068	420.9098	-0.005053703	0.04808216	0.7705075	0.995925
ENSMUSG00000024069	58.07576	0.005530249	0.06164306	0.7158555	0.9945077
ENSMUSG00000024070	290.7608	7.003754e-05	0.05330866	0.996744	0.9995253
ENSMUSG00000024072	275.8595	-0.005540383	0.06024014	0.7267867	0.9945077
ENSMUSG00000024073	3107.358	-0.02216559	0.06868127	0.2168737	0.9189342
ENSMUSG00000024074	650.3991	0.02190625	0.06641135	0.246052	0.9345905
ENSMUSG00000024076	15.1417	0.008737646	0.06947084	0.3016231	0.9540687
ENSMUSG00000024077	2350.566	-0.01662174	0.06642921	0.3090987	0.9557403
ENSMUSG00000024078	129.5301	-0.00510913	0.05935387	0.7515737	0.9953725
ENSMUSG00000024079	45.62536	0.001059901	0.0672357	0.9104687	0.9983069
ENSMUSG00000024081	299.9781	-0.0004912044	0.05838091	0.9756957	0.9983069
ENSMUSG00000024082	184.3683	-0.003200257	0.05269236	0.8532617	0.9967687
ENSMUSG00000024083	4644.437	-0.004722801	0.04265073	0.7740796	0.9959254
ENSMUSG00000024084	151.2537	-0.003966579	0.05764186	0.8106064	0.9959254
ENSMUSG00000024085	347.9763	-0.05094592	0.08866371	0.03054191	0.6919183
ENSMUSG00000024087	12.90321	0.0003631413	0.0680211	0.9639917	0.9983069
ENSMUSG00000024091	830.769	0.0003208124	0.04631634	0.9849528	0.9984528
ENSMUSG00000024095	578.2541	-0.002013754	0.04772573	0.9066793	0.9983069
ENSMUSG00000024096	494.6599	0.009072653	0.05179346	0.611614	0.9907391
ENSMUSG00000024097	623.9168	-0.009329465	0.05342598	0.6019416	0.9907391
ENSMUSG00000024098	262.894	-0.02188313	0.06141403	0.2762645	0.9418056
ENSMUSG00000024099	559.411	-0.005220844	0.05920609	0.747376	0.9953725
ENSMUSG00000024101	145.0721	0.0462512	0.08076218	0.06627895	0.8026293
ENSMUSG00000024104	738.5504	0.02776824	0.06378234	0.1992941	0.9096831
ENSMUSG00000024107	8.720838	-0.008701687	0.07000083	0.2405894	NA
ENSMUSG00000024109	3245.144	0.02301953	0.06645567	0.2345681	0.9338031
ENSMUSG00000024112	615.2849	0.006341768	0.06029524	0.691354	0.9945077
ENSMUSG00000024114	3.461877	-0.001501332	0.06929247	0.7705567	NA
ENSMUSG00000024118	30.05016	-0.003383207	0.06614528	0.7627714	0.9958846
ENSMUSG00000024120	820.1786	0.008387073	0.05015	0.6361668	0.9918021
ENSMUSG00000024121	2243.355	0.01818457	0.06149417	0.3366329	0.9632002
ENSMUSG00000024122	1902.75	-0.02522581	0.06832956	0.1999074	0.9096831
ENSMUSG00000024124	2.270205	0.005756739	0.0732529	0.09991411	NA
ENSMUSG00000024127	2043.888	0.06522821	0.0969258	0.01435095	0.6002293
ENSMUSG00000024130	751.8992	0.02586313	0.06859731	0.1932578	0.9017065
ENSMUSG00000024131	4.711134	-0.007285947	0.07383601	0.06696104	NA
ENSMUSG00000024132	55.88641	0.003507829	0.06508794	0.7763951	0.9959254
ENSMUSG00000024134	0.3659206	0.0002317127	0.07563525	0.8610517	NA
ENSMUSG00000024135	121.9742	-0.01338726	0.06093118	0.4452953	0.9784469
ENSMUSG00000024136	16.68718	-0.005298279	0.06810021	0.5568929	0.9860567
ENSMUSG00000024137	86.67827	0.0008428116	0.05831782	0.9583817	0.9983069
ENSMUSG00000024140	510.4133	-0.01457861	0.06964265	0.2386478	0.9345905
ENSMUSG00000024142	215.1211	-0.02677079	0.06923616	0.1821849	0.8976294
ENSMUSG00000024143	330.3336	-0.03583679	0.07293753	0.1192401	0.8633065
ENSMUSG00000024145	57.10693	-0.003305218	0.06296293	0.8139507	0.9959254
ENSMUSG00000024146	211.7738	-0.0008160598	0.05455946	0.9617616	0.9983069
ENSMUSG00000024150	424.5907	0.01203914	0.05860567	0.4982287	0.9833475
ENSMUSG00000024151	212.625	-0.003453853	0.05912199	0.8293607	0.9959254
ENSMUSG00000024154	0.7980815	-0.0003541938	0.07106669	0.859293	NA
ENSMUSG00000024158	294.2501	0.0006204033	0.05589288	0.9705207	0.9983069
ENSMUSG00000024160	202.9994	-0.02149448	0.06540616	0.2597452	0.9407565
ENSMUSG00000024163	2474.262	0.04750703	0.07836888	0.07182194	0.8078312
ENSMUSG00000024164	12.07166	-0.00167463	0.0697873	0.6600189	0.9925851
ENSMUSG00000024165	57.33502	0.006484199	0.06597824	0.5951612	0.9903903
ENSMUSG00000024168	36.58351	0.01208488	0.06593764	0.4043036	0.975772
ENSMUSG00000024169	246.3448	-0.008117724	0.05672836	0.6396218	0.9918021
ENSMUSG00000024170	147.5507	0.002595109	0.06302466	0.8521026	0.9967687
ENSMUSG00000024172	409.7831	-0.01415948	0.0621977	0.4147096	0.975772
ENSMUSG00000024174	50.1121	0.004841854	0.06331315	0.7303634	0.9945077
ENSMUSG00000024175	2.21587	0.00449514	0.07083011	0.2261369	NA
ENSMUSG00000024176	489.2626	-0.00208511	0.05244823	0.9038826	0.9983069
ENSMUSG00000024177	8.756949	-0.007989998	0.06953217	0.3075993	NA
ENSMUSG00000024180	43.44542	-0.01068606	0.06545792	0.4532886	0.9824754
ENSMUSG00000024181	154.2143	0.005408567	0.06124399	0.7250081	0.9945077
ENSMUSG00000024182	186.6702	0.00195163	0.06264219	0.8900831	0.9983069
ENSMUSG00000024184	0.1428146	0.0001771179	0.07557899	0.8933046	NA
ENSMUSG00000024186	175.765	-0.006253719	0.06407546	0.650655	0.9918021
ENSMUSG00000024187	95.36888	0.004558855	0.06449061	0.7275908	0.9945077
ENSMUSG00000024188	923.7785	0.01241751	0.05460288	0.498302	0.9833475
ENSMUSG00000024190	105.2632	0.0004686227	0.06003257	0.9758548	0.9983069
ENSMUSG00000024191	107.2989	-0.005238424	0.06070039	0.7371151	0.9953725
ENSMUSG00000024193	175.2328	0.008294181	0.05444111	0.6388993	0.9918021
ENSMUSG00000024194	60.1838	-0.002569523	0.06142272	0.8631274	0.9968315
ENSMUSG00000024197	75.50848	-0.005202166	0.0617856	0.7297282	0.9945077
ENSMUSG00000024201	589.7938	-0.008332424	0.063897	0.5662219	0.9869917
ENSMUSG00000024205	0.4209078	0.0001527704	0.07559176	0.9077086	NA
ENSMUSG00000024206	11.66131	0.01111664	0.07060333	0.1761137	0.8976294
ENSMUSG00000024207	0.04345354	-0.0002853043	0.07585737	0.8289884	NA
ENSMUSG00000024208	250.8834	2.966388e-05	0.05995644	0.9984743	0.9999245
ENSMUSG00000024209	0.1282504	0.0005445435	0.07669778	0.6841504	NA
ENSMUSG00000024210	3.671165	0.002158266	0.06911515	0.7097596	NA
ENSMUSG00000024211	98.75367	0.0230142	0.07686463	0.02814163	0.6853939
ENSMUSG00000024212	302.0383	0.01130902	0.05162944	0.533033	0.9833475
ENSMUSG00000024213	1176.533	0.01567335	0.0617326	0.3847009	0.9751418
ENSMUSG00000024215	0.8836185	0.001377806	0.07161362	0.5139248	NA
ENSMUSG00000024217	105.3483	-0.01073726	0.06682037	0.4125327	0.975772
ENSMUSG00000024218	115.1488	-0.004097997	0.0633442	0.7680533	0.9958846
ENSMUSG00000024219	183.5229	0.004479599	0.05967586	0.7785656	0.9959254
ENSMUSG00000024220	345.5696	0.01593056	0.06559156	0.3343573	0.9619518
ENSMUSG00000024222	247.8358	-0.027575	0.07326633	0.1339199	0.8752296
ENSMUSG00000024223	0.1299362	-0.0002870798	0.07586205	0.8279477	NA
ENSMUSG00000024225	0.05517465	0	0.07548602	1	NA
ENSMUSG00000024227	22.00777	0.0007202114	0.06800868	0.9290106	0.9983069
ENSMUSG00000024228	31.45177	0.004028766	0.06732583	0.6813806	0.9926557
ENSMUSG00000024231	413.8147	-0.01481029	0.06241035	0.3976236	0.975772
ENSMUSG00000024232	24.91423	-0.009068192	0.06698899	0.4553206	0.9833475
ENSMUSG00000024234	182.8293	-0.01844926	0.06135621	0.332569	0.9603452
ENSMUSG00000024235	9.494087	0.004449795	0.06924246	0.4838465	0.9833475
ENSMUSG00000024236	197.8274	-0.02725554	0.07576765	0.08969105	0.8261421
ENSMUSG00000024238	1092.914	-0.007539772	0.04362378	0.6522453	0.9918021
ENSMUSG00000024240	372.6633	0.007407717	0.05507436	0.6717945	0.9925851
ENSMUSG00000024241	542.4433	-0.007648174	0.05927253	0.6450307	0.9918021
ENSMUSG00000024242	308.4249	0.01487946	0.05275639	0.4264486	0.975772
ENSMUSG00000024245	64.76763	-0.01210435	0.06879062	0.3018054	0.9540687
ENSMUSG00000024246	32.6647	-0.007905446	0.06516081	0.5562162	0.9860567
ENSMUSG00000024247	27.44621	0.01682555	0.07268625	0.09408184	0.8261421
ENSMUSG00000024248	929.1204	-0.01571245	0.05573987	0.4066352	0.975772
ENSMUSG00000024251	295.8246	-0.01799234	0.06589274	0.2984219	0.9540687
ENSMUSG00000024253	89.253	0.01626785	0.06481813	0.3402707	0.9656154
ENSMUSG00000024254	0.1281974	-0.0006799454	0.07749289	0.6137699	NA
ENSMUSG00000024256	13.16044	-0.002827793	0.06940861	0.5882067	0.9896511
ENSMUSG00000024258	54.3476	-0.001086657	0.06300809	0.9373268	0.9983069
ENSMUSG00000024259	529.5615	0.006921406	0.0494954	0.693448	0.9945077
ENSMUSG00000024260	180.4142	0.003076056	0.05697357	0.8534314	0.9967687
ENSMUSG00000024261	1584.188	-0.04153646	0.07308704	0.09840905	0.8330444
ENSMUSG00000024266	0.2895514	-0.000158196	0.07523896	0.9057425	NA
ENSMUSG00000024268	2358.683	0.01047925	0.04676041	0.5490836	0.9842256
ENSMUSG00000024269	303.7671	0.002397865	0.05768344	0.8838513	0.9976529
ENSMUSG00000024270	238.5844	0.008862467	0.06415788	0.5415506	0.9837023
ENSMUSG00000024271	559.6143	-0.001295874	0.04966114	0.9402216	0.9983069
ENSMUSG00000024273	71.35731	-0.003649616	0.05976198	0.8172959	0.9959254
ENSMUSG00000024274	3.658822	-0.003321675	0.06979686	0.455818	NA
ENSMUSG00000024276	456.2598	-0.01262747	0.05098669	0.4892769	0.9833475
ENSMUSG00000024277	1210.251	0.02569536	0.05912883	0.2236292	0.9249078
ENSMUSG00000024283	682.8594	-0.02384512	0.0600452	0.2497731	0.9358582
ENSMUSG00000024286	945.4042	-0.01221915	0.0521677	0.5040771	0.9833475
ENSMUSG00000024287	244.8739	-0.007409142	0.06438824	0.5938249	0.9903903
ENSMUSG00000024290	407.4217	-0.02653013	0.06690317	0.2002256	0.9096831
ENSMUSG00000024292	40.82794	-0.004856712	0.06523536	0.6972406	0.9945077
ENSMUSG00000024293	343.6835	-0.03787823	0.07498106	0.1039221	0.8432197
ENSMUSG00000024294	2544.798	-0.008863967	0.05091359	0.6188467	0.9916849
ENSMUSG00000024295	0.06412521	0.0001546253	0.07559435	0.9065953	NA
ENSMUSG00000024298	793.7182	-0.1152177	0.1133111	0.002680346	0.3910414
ENSMUSG00000024299	85.90957	0.04817874	0.09213562	0.00677051	0.5250083
ENSMUSG00000024300	23.88212	0.005324418	0.06784994	0.5725176	0.988898
ENSMUSG00000024301	11.14339	0.002340048	0.06857932	0.7432542	0.9953725
ENSMUSG00000024302	1111.849	-0.03747753	0.07035525	0.1199196	0.8633065
ENSMUSG00000024304	828.2658	0.01151954	0.05771396	0.5182179	0.9833475
ENSMUSG00000024306	0.1435748	-0.000502562	0.07663767	0.7057143	NA
ENSMUSG00000024308	148.5199	0.01424618	0.0625713	0.4088394	0.975772
ENSMUSG00000024309	123.4142	0.02052459	0.06888442	0.2246059	0.9249078
ENSMUSG00000024312	40.61273	0.01766079	0.07161294	0.1532454	0.8819353
ENSMUSG00000024317	112.2987	-0.04193315	0.08453893	0.03794025	0.7194277
ENSMUSG00000024319	316.1148	0.04865398	0.08223154	0.05896744	0.791842
ENSMUSG00000024325	152.0562	0.003289944	0.0628922	0.8153891	0.9959254
ENSMUSG00000024327	356.3311	0.03075783	0.07292017	0.1340399	0.8752296
ENSMUSG00000024330	132.0132	0.02829583	0.07726267	0.06610763	0.8026293
ENSMUSG00000024331	13.23728	0.009982799	0.06988347	0.2462361	0.9345905
ENSMUSG00000024334	1.540033	0.0009307938	0.07042157	0.7156495	NA
ENSMUSG00000024335	874.7025	0.008663726	0.0420423	0.5966488	0.9903903
ENSMUSG00000024338	12.63247	0.004123961	0.06794094	0.6419818	0.9918021
ENSMUSG00000024339	40.35823	0.003024022	0.06746439	0.7465476	0.9953725
ENSMUSG00000024340	0.06078082	0	0.07548602	1	NA
ENSMUSG00000024346	175.382	0.004506782	0.05777955	0.785644	0.9959254
ENSMUSG00000024347	262.2683	0.03165469	0.07691129	0.08864662	0.8235835
ENSMUSG00000024349	14.54335	-0.006411398	0.06732861	0.545434	0.9838303
ENSMUSG00000024350	913.1998	0.03174386	0.06588837	0.1615089	0.8954599
ENSMUSG00000024352	17.73948	0.001966302	0.06750417	0.8289507	0.9959254
ENSMUSG00000024353	0.639744	0.001070741	0.07141418	0.6028254	NA
ENSMUSG00000024354	0.9719683	0	0.0734541	1	NA
ENSMUSG00000024357	178.4958	0.0122001	0.05973663	0.4867994	0.9833475
ENSMUSG00000024359	1348.19	0.01078951	0.05452261	0.5502173	0.9847862
ENSMUSG00000024360	574.1843	-0.01167169	0.05251603	0.5219069	0.9833475
ENSMUSG00000024365	0.1512785	-0.000755043	0.07794763	0.577386	NA
ENSMUSG00000024366	0.02967808	0.0001546253	0.07559435	0.9065953	NA
ENSMUSG00000024369	86.83956	-0.01141894	0.06239435	0.4851244	0.9833475
ENSMUSG00000024370	411.866	0.01325883	0.06320276	0.425063	0.975772
ENSMUSG00000024371	4.884633	-0.0008579407	0.06962388	0.8320122	NA
ENSMUSG00000024376	31.59326	0.007066504	0.06778067	0.4909761	0.9833475
ENSMUSG00000024378	171.8226	-0.01091333	0.0637648	0.4806591	0.9833475
ENSMUSG00000024379	0.4697703	-0.0006562176	0.07313719	0.6816378	NA
ENSMUSG00000024381	871.7328	0.02457128	0.06168377	0.2386534	0.9345905
ENSMUSG00000024382	164.9447	0.02109326	0.06640337	0.254618	0.9383164
ENSMUSG00000024383	743.642	-0.03641332	0.06926185	0.1270011	0.8693207
ENSMUSG00000024384	480.251	0.002331614	0.04824736	0.8923454	0.9983069
ENSMUSG00000024387	220.0336	0.04510679	0.08061843	0.0677036	0.8078312
ENSMUSG00000024388	1.459339	-0.004374812	0.07834639	0.09517888	NA
ENSMUSG00000024391	0.4157208	-0.0003420764	0.07297075	0.8249588	NA
ENSMUSG00000024392	945.454	0.01046293	0.05846327	0.5484125	0.9842256
ENSMUSG00000024393	1226.132	-0.002635447	0.06700107	0.7915445	0.9959254
ENSMUSG00000024395	50.55905	0.007458698	0.06441476	0.5912176	0.9899008
ENSMUSG00000024397	26.09094	-0.008224353	0.06835867	0.4104649	0.975772
ENSMUSG00000024399	1.322686	0.0006297809	0.06992383	0.8452861	NA
ENSMUSG00000024400	473.3998	0.000530153	0.05588981	0.9748067	0.9983069
ENSMUSG00000024401	0.4113448	0.0003631754	0.07603807	0.7841358	NA
ENSMUSG00000024402	0.6413107	0.0003692211	0.07232522	0.8226927	NA
ENSMUSG00000024403	707.1845	0.02767796	0.06865864	0.1810415	0.8976294
ENSMUSG00000024404	438.0442	0.002217317	0.05083614	0.8981335	0.9983069
ENSMUSG00000024406	0.7617247	-0.002289366	0.07974503	0.2128239	NA
ENSMUSG00000024410	174.3798	0.01406819	0.06191854	0.4195911	0.975772
ENSMUSG00000024411	572.4506	0.0002832712	0.05672766	0.9863834	0.9986147
ENSMUSG00000024413	697.9539	0.04981197	0.07522906	0.0702313	0.8078312
ENSMUSG00000024414	129.5723	0.006540491	0.05994747	0.6854743	0.9934405
ENSMUSG00000024420	175.9973	0.004534145	0.05699739	0.78696	0.9959254
ENSMUSG00000024421	72.82259	-0.01060444	0.06751	0.389937	0.9751418
ENSMUSG00000024422	135.3843	-0.006174449	0.05952242	0.7038678	0.9945077
ENSMUSG00000024423	2700.478	0.0135389	0.06322854	0.4179029	0.975772
ENSMUSG00000024424	286.2731	0.009935639	0.05921004	0.5616192	0.9863285
ENSMUSG00000024425	1202.246	0.02424132	0.06502995	0.2318386	0.9331619
ENSMUSG00000024426	100.107	0.002416754	0.06501404	0.8437658	0.9959254
ENSMUSG00000024427	52.18895	0.001569767	0.06530609	0.8949284	0.9983069
ENSMUSG00000024429	680.1342	0.007858324	0.05724743	0.6475312	0.9918021
ENSMUSG00000024430	8.09128	0.00535653	0.06994683	0.3063654	NA
ENSMUSG00000024431	1099.178	0.02644669	0.06399443	0.2124682	0.9183453
ENSMUSG00000024436	92.03233	0.009327335	0.06168847	0.561205	0.9863285
ENSMUSG00000024437	1.600711	-0.006713992	0.08927174	0.0318566	NA
ENSMUSG00000024440	1.983199	0.005947817	0.07359686	0.09110844	NA
ENSMUSG00000024442	171.5064	-0.0008264036	0.05423106	0.9613794	0.9983069
ENSMUSG00000024446	53.27232	-0.01153226	0.06874109	0.3125944	0.9559745
ENSMUSG00000024451	41.47451	0.003718447	0.06505926	0.7645521	0.9958846
ENSMUSG00000024454	452.7302	0.009683177	0.0521512	0.5895392	0.9896511
